"filename", "language", "CMake", "JSON", "TypeScript", "Makefile", "CMake Cache", "Python", "C++", "YAML", "C", "Markdown", "comment", "blank", "total"
"/home/fenn/Desktop/Vulpine/Dependencies/SysMacro/include/sysmacro.hpp", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"/home/fenn/Desktop/Vulpine/Dependencies/SysMacro/tests/verify.cpp", "C++", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"/home/fenn/Desktop/Vulpine/Makefile", "Makefile", 0, 0, 0, 253, 0, 0, 0, 0, 0, 0, 0, 80, 333
"/home/fenn/Desktop/Vulpine/cmake_install.cmake", "CMake", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 72
"/home/fenn/Desktop/Vulpine/compile_commands.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"/home/fenn/Desktop/Vulpine/extensions/VulpineToolkit/vsc/language-configuration.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/fenn/Desktop/Vulpine/extensions/VulpineToolkit/vsc/package.json", "JSON", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87
"/home/fenn/Desktop/Vulpine/extensions/VulpineToolkit/vsc/syntaxes/vulpine.tmLanguage.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/fenn/Desktop/Vulpine/extensions/VulpineToolkit/vsc/themes/vulpine-theme.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/fenn/Desktop/Vulpine/extensions/VulpineToolkit/vsix/package.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/fenn/Desktop/Vulpine/fennec/JsonRPC/JsonRPC.hpp", "C++", 0, 0, 0, 0, 0, 0, 216, 0, 0, 0, 0, 42, 258
"/home/fenn/Desktop/Vulpine/fennec/includes/AST.hpp", "C++", 0, 0, 0, 0, 0, 0, 254, 0, 0, 0, 14, 52, 320
"/home/fenn/Desktop/Vulpine/fennec/includes/VulpineSettings.hpp", "C++", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 8, 51
"/home/fenn/Desktop/Vulpine/fennec/includes/emitter.hpp", "C++", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 4, 13, 51
"/home/fenn/Desktop/Vulpine/fennec/includes/fennec.hpp", "C++", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"/home/fenn/Desktop/Vulpine/fennec/includes/lexer.hpp", "C++", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"/home/fenn/Desktop/Vulpine/fennec/includes/lexicon.hpp", "C++", 0, 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 33, 321
"/home/fenn/Desktop/Vulpine/fennec/includes/parser.hpp", "C++", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 9, 19, 95
"/home/fenn/Desktop/Vulpine/fennec/includes/tokens.hpp", "C++", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"/home/fenn/Desktop/Vulpine/fennec/src/emitter.cpp", "C++", 0, 0, 0, 0, 0, 0, 608, 0, 0, 0, 6, 111, 725
"/home/fenn/Desktop/Vulpine/fennec/src/lexer.cpp", "C++", 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 10, 24, 187
"/home/fenn/Desktop/Vulpine/fennec/src/parser.cpp", "C++", 0, 0, 0, 0, 0, 0, 696, 0, 0, 0, 15, 125, 836
"/home/fenn/Desktop/Vulpine/src/main.cpp", "C++", 0, 0, 0, 0, 0, 0, 299, 0, 0, 0, 2, 42, 343
"/home/fenn/Desktop/Vulpine/test/run_test.py", "Python", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 7, 11, 66
"Total", "-", 503, 160, 12, 356, 502, 48, 3678, 3096, 711, 75, 198, 1253, 10592
